c,time,vx,vy,V_net,ent,delta_entropy,div,delta_div,curl,delta_curl,theta,delta_theta,area,delta_area
361,0.077867746,0.007910712,2.625001535,2.625013455,72.44931941,36.14405748,0.052940086,0.60079627,0.019584753,0.172551137,0,0,0.034778646,0.446637375
362,0.080156803,0.170062921,0.286812417,0.333440788,76.91578564,4.46646623,0.04992787,-0.037579032,0.025201316,0.0700697,0,0,0.030611979,-0.051981448
363,0.079975843,0.294118905,0.249428828,0.385643191,79.87680085,2.961015213,0.04468605,-0.065542548,0.019065706,-0.076718296,0,0,0.03359375,0.037283393
364,0.082483768,0.112168982,0.633136547,0.642995931,72.54083402,-7.335966834,0.045526029,0.010183572,0.024876297,0.070445275,0,0,0.036757813,0.03835982
365,0.078906775,0.206971059,0.40186611,0.45203251,79.23037857,6.689544549,0.042655985,-0.0363726,0.021562857,-0.041991836,0,0,0.034440104,-0.029372742
366,0.079195261,0.286919436,0.117944342,0.310215458,73.43757174,-5.792806827,0.047525414,0.061486371,0.027858902,0.079500276,0,0,0.027994792,-0.081385078
367,0.081748009,0.410074112,0.199389665,0.455979184,75.16884408,1.731272336,0.04807916,0.006773817,0.019430651,-0.10310038,0,0,0.031067708,0.03759011
368,0.079637766,0.21224209,0.072808713,0.224383185,77.44470959,2.275865514,0.047197699,-0.011068375,0.020908853,0.018561563,0,0,0.031302083,0.002943013
369,0.079711914,0.145921442,0.08832462,0.17057053,72.64830543,-4.796404163,0.042815782,-0.054971926,0.025915082,0.062804024,0,0,0.034127604,0.035446656
370,0.083010912,0.03622063,0.228463418,0.231316812,79.07488703,6.4265816,0.046888881,0.049067028,0.018904848,-0.08444955,0.109484688,1.318919233,0.038632813,0.054272483
371,0.079414368,0.003954287,0.289200926,0.289227959,77.38015997,-1.694727053,0.054529137,0.096207483,0.022585733,0.046350376,0,-1.378650885,0.036575521,-0.025905787
372,0.079427242,0.311215666,0.044133968,0.314329442,72.26019707,-5.119962903,0.053912614,-0.007762109,0.014596873,-0.100580863,0,0,0.032747396,-0.048196625
373,0.085107088,0.193618571,0.306613878,0.362629592,75.5772438,3.317046733,0.049441956,-0.052529796,0.019441823,0.056927693,0,0,0.038554688,0.068235112
374,0.084564209,0.244271059,0.297982185,0.385307323,75.61358123,0.036337428,0.045358404,-0.048289367,0.020380868,0.011104525,0,0,0.036067708,-0.029409359
375,0.080596924,0.243998544,0.045880048,0.248274583,73.63988302,-1.973698212,0.057570876,0.151525291,0.020563182,0.002262037,0,0,0.031848958,-0.052343809
376,0.078604698,0.085612888,0.020812418,0.088106318,74.40225803,0.762375011,0.047757494,-0.12484473,0.02857532,0.101929503,0,0,0.027994792,-0.049032269
377,0.079292059,0.124159871,0.069046017,0.142066978,73.93841733,-0.463840698,0.048009073,0.003172812,0.021165385,-0.093451159,0,0,0.0315625,0.044994523
378,0.077776432,0.279242051,0.052729403,0.284176905,71.70300686,-2.235410471,0.043948802,-0.052204388,0.025478777,0.055458865,0,0,0.030494792,-0.013727916
379,0.080217361,0.069947524,0.065267601,0.095668782,76.34363163,4.640624764,0.051463143,0.093674756,0.021786874,-0.046023746,0,0,0.035260417,0.059408897
380,0.080407858,0.175169248,0.020507032,0.17636554,76.82858039,0.484948767,0.052482772,0.012680703,0.022246926,0.005721483,0,0,0.031770833,-0.043398536
381,0.081818819,0.023057034,0.206310431,0.207594847,78.1255845,1.297004105,0.049471026,-0.03680994,0.017203518,-0.061641173,0,0,0.030377604,-0.017028224
382,0.080754757,0.329135507,0.39264974,0.512351442,69.77883059,-8.346753905,0.052705015,0.040047048,0.02052774,0.041164409,0,0,0.0346875,0.053370179
383,0.081299543,0.335091172,0.073668183,0.34309342,77.86356747,8.08473688,0.04500191,-0.094749676,0.020192709,-0.00412094,0,0,0.0315625,-0.0384381
384,0.080661774,0.191832022,0.096383267,0.214684091,71.53834798,-6.325219495,0.048911372,0.048467347,0.025486014,0.065623458,0,0,0.028919271,-0.032769291
385,0.078286886,0.144353186,0.259465709,0.296917997,78.18137406,6.643026076,0.054871087,0.076126603,0.016132534,-0.119476973,0,0,0.030768229,0.023617727
386,0.079140663,0.117787689,0.137781369,0.181266779,72.40246899,-5.778905069,0.043852285,-0.139230602,0.016118474,-0.000177652,0,0,0.030533854,-0.002961499
387,0.077763796,0.113172935,0.178575088,0.211417065,75.16641245,2.763943462,0.045303348,0.018659886,0.020428026,0.055418479,0,0,0.031809896,0.0164092
388,0.080798864,0.339293556,0.159429722,0.374883919,75.3443871,0.177974656,0.044713125,-0.007304849,0.021883395,0.018012247,0,0,0.030507813,-0.016115119
