c,time,vx,vy,V_net,ent,delta_entropy,div,delta_div,curl,delta_curl,theta,delta_theta,area,delta_area
125,0.097707033,0.377582166,0.009968669,0.377713736,174.2347329,5.719821602,0.173999297,0.070456732,0.034585181,-0.147238039,0.249158326,-0.412552494,0.129088542,0.003731393
126,0.094206095,0.325817472,0.10801315,0.343254812,174.4397182,0.204985351,0.161057537,-0.137377098,0.032389261,-0.023309749,0.26442321,0.162037111,0.131536458,0.025984695
127,0.103207827,0.382026925,0.151199754,0.410859997,175.1788746,0.739156418,0.169436928,0.081189491,0.037697387,0.051431436,0.359294802,0.919228656,0.132734375,0.011606839
128,0.096260548,0.282864799,0.009744775,0.283032604,171.9447757,-3.234098896,0.171443027,0.020840305,0.031095523,-0.068583283,0,-3.732523972,0.135585938,0.029623377
129,0.096748352,0.143793173,0.20010156,0.246408423,172.4242312,0.479455429,0.167074265,-0.045155933,0.040373462,0.095897649,0,0,0.132317708,-0.033780722
130,0.097260952,0.082202077,0.075743635,0.111777814,173.9640322,1.53980108,0.174787287,0.079302349,0.034923209,-0.056037423,0.216129985,2.22216605,0.120221354,-0.124370098
131,0.097294569,0.083488676,0.229019022,0.243762326,177.5086442,3.544611956,0.174146174,-0.006589402,0.036573316,0.016959906,0.227960859,0.121598499,0.126393229,0.063434938
132,0.106079578,0.157233044,0.356728449,0.38984281,178.270345,0.761700826,0.183867757,0.091644249,0.038433663,0.017537283,0.225332377,-0.0247784,0.131627604,0.049343852
133,0.092371225,0.040408892,0.110435574,0.11759632,178.7264509,0.456105827,0.169966226,-0.150496339,0.03545162,-0.032283246,0.170961495,-0.588612761,0.132018229,0.00422886
134,0.087252617,0.131286278,0.071521972,0.149504111,180.9993757,2.272924882,0.181402244,0.131067911,0.027783775,-0.087880976,0.226038674,0.631238131,0.127408854,-0.052827928
135,0.084635735,0.015971877,0.04564771,0.048361289,176.3594703,-4.639905445,0.171368051,-0.118557411,0.040935892,0.155396732,0.259917683,0.400292024,0.125169271,-0.026461439
136,0.085855961,0.15220321,0.098126631,0.181092939,174.417126,-1.942344342,0.177822929,0.075182652,0.034873041,-0.070616542,0.208348855,-0.600643542,0.131432292,0.072948002
137,0.089027405,0.275597564,0.047451487,0.27965275,181.2410359,6.823909974,0.183018793,0.058362515,0.038386677,0.039466909,0.255015832,0.524186653,0.131223958,-0.002340103
138,0.090922832,0.276186832,0.145301376,0.312076363,181.2637521,0.022716137,0.181657967,-0.014966824,0.034355995,-0.044330802,0.24387832,-0.122494119,0.1278125,-0.03752037
139,0.08809042,0.230167539,0.122117535,0.260556689,174.6174782,-6.646273883,0.180263254,-0.015832742,0.032987242,-0.015538046,0.257063078,0.149673006,0.119466146,-0.094747581
140,0.085922718,0.270764924,0.122545664,0.297205457,179.9834304,5.365952191,0.174038336,-0.072447864,0.020790554,-0.141949518,0.252641177,-0.051463699,0.122434896,0.034551398
141,0.096360683,0.454830672,0.093943046,0.464431089,181.3350122,1.351581841,0.178884781,0.050294839,0.034640952,0.143734947,0.171198025,-0.845190686,0.129466146,0.072968038
142,0.092736721,0.047842488,0.238408805,0.243161802,178.8724033,-2.462608934,0.180245372,0.014671539,0.039141736,0.048532922,0.152645623,-0.200054536,0.127421875,-0.022043812
143,0.091342688,0.190008914,0.477321695,0.513750316,179.9917723,1.119369039,0.173786046,-0.070715307,0.034838719,-0.0471085,0.827941556,7.392993905,0.130052083,0.028794952
144,0.087472439,0.003192998,0.160560378,0.160592124,185.0181445,5.026372203,0.179720201,0.067840284,0.033758939,-0.012344224,0.16667636,-7.559697719,0.129127604,-0.010568805
145,0.091927767,0.169880702,0.06638776,0.182391852,173.7803517,-11.23779286,0.172302308,-0.080692623,0.045946205,0.132574368,0.254549463,0.955892943,0.122942708,-0.067279953
146,0.090849876,0.103403176,0.276146383,0.294871228,176.8897677,3.109416027,0.174989491,0.029578281,0.042986503,-0.032577942,0.161530978,-1.023870247,0.126158854,0.035400663
147,0.086481094,0.230046745,0.185705721,0.295648642,180.3026121,3.412844396,0.170285418,-0.054394234,0.028273246,-0.170132637,0.370443547,2.415702192,0.131054688,0.056611602
148,0.084217787,0.143959796,0.072387403,0.161134599,177.7108924,-2.591719713,0.170089915,-0.002321402,0.039925469,0.138358216,0.207644558,-1.933071323,0.1221875,-0.105288774
149,0.088217258,0.335400806,0.099521536,0.349854594,181.0645445,3.353652132,0.188128684,0.204481178,0.035562259,-0.049459818,0.220982286,0.151191819,0.125625,0.038966298
150,0.083842993,0.099004974,0.19545772,0.219102043,185.16807,4.103525493,0.182920842,-0.062114216,0.024801487,-0.128344326,0.282796637,0.737263169,0.129804688,0.049851363
151,0.085266113,0.144730292,0.190376356,0.239144338,177.8860981,-7.281971868,0.173986425,-0.104782739,0.03911433,0.167860861,0.215775016,-0.786028804,0.1225,-0.085669291
152,0.085463762,0.25869971,0.364826979,0.447240724,183.0191185,5.133020385,0.184000378,0.117171922,0.039099283,-0.000176063,0.286788896,0.830923877,0.132109375,0.112438006
153,0.087667227,0.096450218,0.015733327,0.097725033,178.5460929,-4.473025596,0.176170892,-0.089309163,0.043674499,0.052188441,0.368714824,0.934510317,0.122630208,-0.108126686
154,0.087297916,0.007285881,0.320912471,0.320995168,179.1694852,0.623392296,0.178424214,0.025811863,0.039232394,-0.050884433,0.232039981,-1.56561404,0.127447917,0.05518698
155,0.089703083,0.293566127,0.082115661,0.304834468,175.1710485,-3.998436675,0.16833422,-0.112482125,0.033212469,-0.067109454,0.161025096,-0.79166604,0.124986979,-0.027434258
156,0.089559793,0.180216817,0.147716233,0.233019713,181.4069108,6.235862295,0.182385253,0.156889963,0.030083753,-0.034934389,0.137764796,-0.259718109,0.129986979,0.055828624
