c,time,vx,vy,V_net,ent,delta_entropy,div,delta_div,curl,delta_curl,theta,delta_theta,area,delta_area
120,0.082141876,4.159704445,39.88879502,40.10510079,952.5324642,581.5153384,0.062599558,-0.588390012,0.12763793,1.441985644,0,-2.675469532,0.152604167,0.557502129
121,0.08087635,6.379819612,15.97828067,17.20486999,1219.325742,266.7932776,0.00364774,-0.728912935,0.212676202,1.051460299,2.303462162,28.48128223,0.163984375,0.1407112
122,0.083543062,10.11010656,12.91876394,16.40453341,1406.80406,187.4783177,0.143277787,1.671354183,0.367776537,1.856531611,1.470333524,-9.972445536,0.226432292,0.747493748
123,0.082484007,12.34662772,4.026683231,12.98666215,1511.347854,104.5437948,0.264809314,1.473395043,0.475591321,1.307099245,0.25863431,-14.69011096,0.241419271,0.181695576
124,0.081739187,0.231325933,28.22987347,28.23082124,1102.130556,-409.217298,0.040373872,-2.745750841,0.256103461,-2.685221954,0.779055101,6.366845674,0.232864583,-0.104658338
125,0.081414461,24.19094381,31.88106712,40.02004751,537.1862954,-564.944261,0.044675813,0.05284001,0.111552508,-1.775494802,0.963814197,2.269364594,0.091354167,-1.738148416
126,0.08164525,1.705439246,12.0694513,12.18934689,706.2655154,169.07922,0.31742439,3.340654558,0.236248266,1.527287349,0.766955261,-2.411149877,0.152955729,0.754502708
127,0.085704565,6.660489395,6.838623456,9.546145283,599.0114026,-107.2541128,0.238606288,-0.919648815,0.151917531,-0.983970166,0,-8.948826249,0.169231771,0.18990869
128,0.103404999,6.438470101,2.043954186,6.755119981,629.465283,30.45388035,0.304461053,0.636862489,0.321077359,1.635896046,0,0,0.132005208,-0.360007378
129,0.087928534,4.627356767,3.48537904,5.793125038,684.5554881,55.09020515,0.363948671,0.676545095,0.458364604,1.561350329,0,0,0.1065625,-0.289356678
130,0.081843853,1.196061918,0.83898351,1.460978248,678.2650239,-6.290464187,0.374517204,0.129130441,0.483742837,0.310081114,0.729940105,8.918691856,0.139661458,0.404415935
131,0.080197573,0.056936985,5.092382209,5.0927005,595.2072031,-83.05782086,0.335650587,-0.484635826,0.410116708,-0.918059318,0.117121324,-7.641363203,0.100859375,-0.483831144
132,0.080182791,3.26409173,1.760774236,3.70872225,624.659044,29.45184091,0.372222703,0.456109284,0.444612641,0.430216167,0.313430825,2.44827474,0.101484375,0.00779469
133,0.080477476,10.95333343,76.82930063,77.60616566,660.4861706,35.82712664,0.106933452,-3.296440984,0.150435653,-3.655395306,0.257868248,-0.690411533,0.085013021,-0.204670362
134,0.082550764,7.511511356,40.29599576,40.9901217,1260.230664,599.7444931,0.170329378,0.767962925,0.566469105,5.039728668,0,-3.123753614,0.129505208,0.538967604
135,0.082235098,1.238252179,19.27016669,19.30990919,1559.972494,299.7418301,0.293815988,1.501629021,0.775836513,2.54596168,2.026836819,24.64685847,0.1646875,0.427825741
136,0.085195541,0.811552413,4.558814317,4.630486508,1627.656402,67.68390841,0.326870738,0.387986858,0.799279838,0.275170788,2.295651717,3.155269551,0.206158854,0.486778457
137,0.090955973,9.86930461,7.750938085,12.54911211,1736.61255,108.9561478,0.262331139,-0.709569673,0.724201936,-0.825431248,2.148568613,-1.617080218,0.214127604,0.087611069
138,0.094050646,3.246380191,8.785358876,9.365976453,1593.11214,-143.50041,0.219336687,-0.457141476,0.62246818,-1.081691198,1.118039799,-10.95716892,0.152513021,-0.655121321
139,0.093194485,5.299703884,12.62926116,13.69617095,1378.886135,-214.2260051,0.037685179,-1.949165869,0.346060172,-2.96592667,1.85569895,7.915266157,0.139453125,-0.140135931
140,0.080399752,1.713862678,10.06472523,10.20960426,1193.163401,-185.7227342,0.252051252,2.666252934,0.088163339,-3.207681967,1.461411923,-4.904082647,0.141471354,0.02510243
141,0.081054211,1.130710114,4.2045605,4.35394469,1120.59481,-72.56859099,0.363999163,1.381148608,0.257307004,2.08679677,0.654922336,-9.950002354,0.121549479,-0.245784578
142,0.081903696,0.872050652,3.715550213,3.816514866,1055.706139,-64.88867041,0.461998541,1.196519611,0.443708907,2.275866806,2.239071057,19.34160236,0.107786458,-0.168039069
143,0.079644918,2.564643423,16.88522315,17.07888043,799.2920977,-256.4140416,0.390182232,-0.901706108,0.355989397,-1.101382373,0.142745584,-26.32089421,0.091458333,-0.20501151
